name,Last Commit Date,Total Commits (since inception),Avg Commits/Weekday (Mon–Fri)
fadeevab/design-patterns-rust,2025-01-01,101,0.09
warycat/rustgym,2024-12-31,740,0.35
ryanmcgrath/cacao,2024-12-28,255,0.14
sharkdp/diskus,2024-12-27,103,0.03
matklad/xshell,2024-12-23,201,0.06
iovxw/rssbot,2024-12-22,505,0.18
daboross/fern,2024-12-15,404,0.1
mattsse/voyager,2024-12-14,58,0.04
fspoettel/advent-of-code-rust,2024-12-11,132,0.12
orhun/systeroid,2024-12-11,644,0.58
tokio-rs/async-stream,2024-12-08,78,0.04
rustgd/cgmath,2024-12-07,1587,0.34
SuperCuber/dotter,2024-12-03,530,0.17
narrowlink/narrowlink,2024-11-30,222,0.5
zkat/cacache-rs,2024-11-26,247,0.11
dropbox/pb-jelly,2024-11-21,352,0.25
SamiPerttu/fundsp,2024-11-18,649,0.43
blst-security/cherrybomb,2024-10-25,520,0.57
mattsse/chromiumoxide,2024-10-24,340,0.17
aome510/hackernews-TUI,2024-10-22,498,0.36
autometrics-dev/autometrics-rs,2024-10-21,172,0.36
atanunq/viu,2024-10-20,246,0.11
bluss/arrayvec,2024-10-17,526,0.14
dtolnay/paste,2024-10-06,298,0.1
zmwangx/rust-ffmpeg,2024-09-29,601,0.18
chinedufn/percy,2024-09-29,765,0.32
Aloxaf/silicon,2024-09-26,241,0.14
BurntSushi/aho-corasick,2024-09-25,293,0.09
BurntSushi/byteorder,2024-09-25,261,0.07
SergioBenitez/Figment,2024-09-13,108,0.08
microsoft/com-rs,2024-09-07,503,0.35
adam-mcdaniel/dune,2024-09-07,259,0.26
memorysafety/river,2024-09-06,42,0.28
jvns/dnspeep,2024-08-27,39,0.04
kawasin73/prsqlite,2024-08-25,139,0.18
facebookexperimental/MIRAI,2024-08-22,1205,0.71
a16z/magi,2024-08-14,159,0.33
8051Enthusiast/biodiff,2024-08-07,210,0.17
tokio-rs/mini-redis,2024-08-03,99,0.07
ivmarkov/rust-esp32-std-demo,2024-08-01,263,0.19
Gankra/cargo-mommy,2024-07-30,80,0.08
rust-unofficial/too-many-lists,2024-07-30,274,0.07
tikv/minitrace-rust,2024-07-23,183,0.14
robiot/rustcat,2024-07-20,226,0.17
zkcrypto/bellman,2024-07-15,357,0.14
0x676e67/thunder,2024-06-30,628,1.5
mufeedvh/pdfrip,2024-06-18,80,0.08
